ID,PAMPA,permeable,MolWt,embedding_x,embedding_y,kmedoids_cluster,hdbscan_cluster
1,-6.6,0,1202.635,9.683036,4.2597914,0,4
2,-6.2,0,712.933,4.5278583,3.3972332,7,1
3,-7.0,0,712.933,1.2567763,3.7309978,6,1
4,-7.1,0,712.933,1.2106841,2.0713706,3,1
5,-7.2,0,712.933,3.6527882,4.0318203,7,1
6,-7.3,0,712.933,-1.5515859,2.0088694,2,1
7,-7.3,0,712.933,4.5147314,3.4337485,7,1
8,-7.3,0,712.933,2.9151163,1.5511465,5,1
9,-8.1,0,712.933,1.7025489,2.5044234,2,1
10,-8.1,0,712.933,4.846349,0.79581463,5,2
11,-6.47,0,726.96,3.4688032,4.0629582,7,1
12,-7.05,0,710.917,1.373578,3.618296,6,1
13,-7.27,0,710.917,4.0421844,3.0610168,7,1
14,-7.16,0,726.96,-0.0046826843,2.6697285,2,1
15,-6.52,0,726.96,0.061031945,2.5453248,2,1
16,-6.68,0,726.96,0.2888893,2.7979937,2,1
17,-7.29,0,808.034,4.386953,3.9530926,5,1
18,-6.75,0,726.96,1.7998399,3.4000149,7,1
19,-6.95,0,824.077,9.332518,2.8127031,1,4
20,-7.12,0,824.077,4.433555,3.6258953,7,1
21,-6.41,0,840.12,0.15125313,6.0509605,7,1
48,-6.25,0,1326.649,9.631646,3.619202,1,4
49,-4.96,1,1348.74,8.273886,2.978744,1,4
50,-4.89,1,1306.659,8.785825,3.341727,1,4
51,-5.0,1,1382.757,9.198211,2.917033,1,4
52,-4.89,1,1382.757,8.468802,2.5098274,1,4
53,-4.52,1,1297.651,10.049638,2.9349809,1,4
54,-4.42,1,1226.572,8.984777,2.9232206,1,4
55,-4.52,1,1214.561,7.032229,4.361089,1,4
56,-4.51,1,1311.678,8.473728,6.423467,0,4
57,-4.92,1,1370.746,8.319253,3.9329495,1,4
58,-4.57,1,1196.543,6.9988837,5.7465143,0,4
59,-4.51,1,1111.437,9.407515,3.750443,0,4
60,-4.8,1,1069.356,7.5431685,3.6487963,0,-1
61,-4.8,1,1083.383,8.052758,3.7655654,0,4
62,-5.24,1,1453.836,9.916687,3.9491115,0,4
63,-4.96,1,1453.836,9.800159,3.742461,0,4
64,-4.7,1,1297.651,9.385647,3.3723173,1,4
65,-4.3,1,1385.801,9.138156,4.2964363,0,4
66,-4.48,1,1327.721,8.734254,3.1213665,1,4
67,-4.74,1,1413.855,7.769741,4.4139643,1,4
68,-4.46,1,1244.587,7.824788,1.824065,1,4
69,-4.47,1,1228.588,7.638606,6.5956855,0,4
70,-4.64,1,1089.346,7.844755,2.032481,1,4
71,-4.52,1,1384.773,9.59635,2.91971,1,4
72,-4.82,1,1382.757,7.891281,3.529536,1,4
73,-4.68,1,1426.81,9.849445,4.162039,0,4
74,-4.52,1,1410.811,7.1773405,6.354155,0,4
75,-4.59,1,1412.783,8.226861,2.339306,1,4
76,-4.7,1,1396.784,8.997354,4.7906713,0,4
77,-4.68,1,1370.746,7.9570594,1.8413954,1,4
78,-4.38,1,1111.437,8.090365,4.1716866,1,4
79,-4.72,1,1398.8,8.515918,1.9685532,1,4
80,-4.48,1,1412.783,9.53806,3.6212728,1,4
81,-4.77,1,1484.934,9.14817,4.784117,1,4
82,-4.62,1,1384.773,9.747479,4.971507,0,4
83,-4.85,1,1283.624,7.674313,3.8050249,1,4
84,-4.72,1,1311.678,9.145971,3.6895168,1,4
85,-4.64,1,1297.651,8.947192,3.7702951,1,4
86,-4.59,1,1313.694,8.277633,2.2872326,1,4
87,-4.68,1,1399.828,9.104788,5.660469,0,4
88,-4.4,1,1341.748,9.477692,4.699512,1,4
89,-5.27,1,1096.382,9.207655,4.111603,0,4
90,-4.57,1,1228.588,7.3231783,6.299279,0,4
91,-5.27,1,1110.409,6.975314,6.558897,0,4
92,-4.54,1,1214.561,8.532584,3.8451936,1,4
93,-5.48,1,1096.382,7.005309,3.2661908,1,-1
94,-4.8,1,1196.543,8.498604,4.102269,0,4
95,-4.68,1,1111.437,8.650138,2.1284118,1,-1
96,-4.42,1,1101.401,8.108601,2.4778287,1,4
97,-4.55,1,1103.373,6.812006,6.02842,0,-1
98,-4.92,1,1103.373,8.856701,6.6381025,0,4
99,-4.6,1,1125.464,7.245781,5.664513,0,4
100,-4.89,1,1398.756,8.732176,5.8562937,0,4
101,-4.64,1,1398.8,9.046059,5.5917745,0,4
102,-5.04,1,1484.934,8.414434,6.3766274,0,4
103,-4.7,1,1396.784,10.024473,4.4839716,0,4
104,-4.59,1,1484.934,7.288822,7.1177588,0,4
105,-4.66,1,1370.746,8.815191,3.3697195,1,4
106,-4.55,1,1398.8,7.814352,2.194489,1,-1
107,-5.14,1,1209.542,7.564149,3.3713584,1,-1
108,-4.89,1,1399.828,8.3571615,5.5269275,0,4
109,-4.57,1,1313.694,8.558353,2.202242,1,-1
110,-4.59,1,1299.667,8.510656,4.626376,1,4
111,-4.25,1,1341.748,9.691199,3.453591,1,4
112,-5.77,1,1413.855,8.2916,6.233914,0,4
113,-4.25,1,1327.721,6.5116887,7.0151787,0,4
114,-5.74,1,1223.569,8.467623,6.435278,0,4
115,-4.72,1,1413.855,8.000948,4.7628517,1,4
116,-5.17,1,1383.829,8.478431,4.743609,0,4
117,-4.35,1,1327.721,8.307055,3.8777356,1,4
118,-4.47,1,1297.651,8.749977,5.883208,0,4
119,-4.64,1,1426.81,7.151114,4.230063,1,4
120,-4.66,1,1384.773,9.731859,4.404466,0,4
121,-4.52,1,1410.811,8.518476,5.364266,0,4
122,-4.52,1,1371.774,7.193027,6.982708,0,4
123,-4.92,1,1223.569,9.19753,3.808461,0,4
124,-4.46,1,1279.677,9.322686,4.6003323,0,4
125,-4.55,1,1325.705,10.046928,5.481426,0,4
126,-4.36,1,1427.882,7.3999343,5.8347797,0,4
127,-6.35,0,1262.605,8.89579,4.0703235,0,4
128,-4.64,1,1234.551,9.523093,4.2330365,0,4
129,-4.6,1,1234.551,8.607507,3.0783541,1,4
130,-4.85,1,1152.49,7.7785873,3.4431531,1,4
131,-4.8,1,1276.632,8.244715,3.1704712,1,4
132,-4.3,1,1244.587,9.542421,5.3699474,0,4
133,-4.39,1,1242.615,8.384781,5.1785445,0,4
134,-4.49,1,1224.597,8.320903,3.9906306,1,4
135,-4.24,1,1412.827,8.374067,3.5324607,1,4
136,-4.7,1,1356.719,7.553055,6.157383,0,4
137,-4.26,1,1129.455,7.3137608,6.2034283,0,4
138,-4.27,1,1219.58,8.116953,5.397723,4,4
139,-4.33,1,1129.455,8.990579,4.005914,1,4
140,-4.64,1,1101.401,10.200396,3.7248385,1,4
141,-4.77,1,1117.4,8.495099,3.0032272,1,4
142,-4.68,1,1111.437,10.709693,5.142053,0,4
143,-4.21,1,1384.773,9.628761,4.5085607,0,4
144,-4.41,1,1412.827,9.598489,4.5842805,0,4
145,-4.52,1,1398.8,9.020507,3.0788329,1,4
146,-4.89,1,1396.784,9.435265,5.279128,0,4
147,-5.28,1,1096.382,8.896217,3.0936983,1,4
148,-4.46,1,1214.561,9.546511,6.1701784,0,-1
149,-4.49,1,1384.773,9.100158,2.3358998,1,-1
150,-4.51,1,1210.57,7.00849,6.6114883,0,4
151,-4.64,1,1327.721,8.369643,4.293693,1,4
152,-4.21,1,1228.588,10.505017,4.1293807,0,4
153,-5.4,1,1110.409,7.9599895,2.0441847,1,4
154,-4.7,1,1237.596,9.02449,6.1438484,0,-1
155,-4.19,1,1210.57,8.492311,6.407363,0,4
156,-4.54,1,1214.561,8.459565,5.074899,0,4
157,-4.59,1,1311.678,7.93666,1.8583255,1,4
158,-4.54,1,1256.642,7.7357397,4.978198,0,4
159,-4.51,1,1083.383,7.5857224,3.0249553,1,-1
160,-4.77,1,1399.828,7.6853285,6.7461615,0,4
161,-4.48,1,1087.374,7.6936855,3.1891518,1,-1
162,-4.57,1,1313.694,9.04869,3.6625566,1,4
163,-4.21,1,1125.464,6.9222593,5.6903157,0,4
164,-4.59,1,1087.374,7.4208193,3.0978909,1,-1
165,-5.03,1,1383.829,7.5967894,4.3516164,1,4
166,-4.26,1,1125.464,10.672118,4.587193,0,4
167,-4.62,1,1341.748,7.421673,2.1878066,1,4
168,-4.57,1,1087.374,7.847594,1.9150778,5,4
169,-4.31,1,1355.775,7.7083955,4.1631722,1,4
170,-4.41,1,1355.775,8.980593,4.8931937,0,4
171,-4.43,1,1097.41,8.387477,2.9733229,1,4
172,-4.59,1,1073.347,6.701327,3.2317958,1,-1
173,-4.46,1,1311.678,9.432742,4.432785,0,4
