Feature,Group,N,AUC_ROC
MolLogP,2D Baseline,7298,0.6305
NumHDonors,2D Baseline,7298,0.5944
H2O_3DPSA,DB 3D (from CycPeptMPDB),6941,0.5651
CHCl3_3DPSA,DB 3D (from CycPeptMPDB),6941,0.5633
NumRotatableBonds,2D Baseline,7298,0.5628
TPSA,2D Baseline,7298,0.5531
MolWt,2D Baseline,7298,0.5336
delta_hb,Tier-1 Δ (conformer engine),7297,0.5273
RingCount,2D Baseline,7298,0.5195
NumHAcceptors,2D Baseline,7298,0.5191
delta_NPR2,Tier-1 Δ (conformer engine),7295,0.5099
psa3d_std,Tier-1 Δ (conformer engine),7296,0.5074
delta_Rg,Tier-1 Δ (conformer engine),7297,0.5069
delta_3DPSA_db,DB 3D (from CycPeptMPDB),6941,0.5066
delta_psa3d,Tier-1 Δ (conformer engine),7297,0.5053
delta_Asphericity,Tier-1 Δ (conformer engine),7295,0.5016
delta_NPR1,Tier-1 Δ (conformer engine),7295,0.5003
