compound_id,smiles,n_confs,temperature_K,aq_psa3d,mem_psa3d,delta_psa3d,psa3d_std,psa3d_spread,bw_psa3d,norm_delta_psa,tpsa_2d,ensemble_energy,pop_lowest_pct,unique_confs,error
meA.L.bHph.P.L.F,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC1=O,1774.0,298.15,91.4925,37.1453,54.3472,9.8861,54.3472,69.2052,0.056532,157.02,0.404,42.658,1774.0,
Me_Tza.3Pal.dP.PhPr_Gly.Nva(Ph).Me_dF,CN1C(=O)[C@H](CCCc2ccccc2)NC(=O)CN(CCCc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2cccnc2)NC(=O)[C@H](Cc2cscn2)N(C)C(=O)[C@H]1Cc1ccccc1,5743.0,298.15,164.4337,114.6035,49.8302,10.4136,49.8302,130.451,0.046353,165.22000000000003,0.912,10.73,5743.0,
meA.Bn_Gly.Bn_Gly.P.Bn_Gly.F,C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N1C,345.0,298.15,101.8672,58.4506,43.4166,9.2845,43.4166,81.667,0.04582,130.65,0.467,15.657,345.0,
dP.Me_dA.Me_dL.Bn_Gly.dP.L.F,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,1279.0,298.15,91.6388,39.9022,51.7366,11.0772,51.7366,69.2961,0.054181,159.75,0.285,50.678,1279.0,
dP.meA.meL.L.P.L.F,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,4337.0,298.15,106.0073,47.4329,58.5744,10.0848,58.5744,70.4068,0.0595,168.54,1.024,21.573,4337.0,
dA.Bn_Gly.bHph.P.Bn_Gly.F,C[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C1=O,220.0,298.15,88.2997,66.2088,22.0909,3.7848,22.0909,76.3825,0.02317,148.23,0.746,26.408,220.0,
dP.Pr_Gly.Me_dL.bHph.dP.dL.F,CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,4441.0,298.15,95.1214,39.6367,55.4847,8.8759,55.4847,65.4459,0.056344,168.54,0.628,38.053,4441.0,
dP.bHph.Me_dL.Me_dL.P.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](Cc2ccccc2)CC(=O)N1C,1206.0,298.15,94.6232,54.3706,40.2526,8.9745,40.2526,68.4393,0.03912,159.75,0.287,57.04,1206.0,
dP.A.dL.Me_dL.P.Bn_Gly.F,CC(C)C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,2570.0,298.15,98.5772,42.1601,56.4171,10.3667,56.4171,68.1786,0.057394,168.54,0.324,40.607,2570.0,
dP.dA.meL.Bn_Gly.P.Me_dL.F,CC(C)C[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@H]2C(=O)N1C,2973.0,298.15,92.6838,41.3424,51.3414,11.5119,51.3414,65.6373,0.053556,159.75000000000003,0.223,55.342,2973.0,
