Feature,LR_coefficient,abs_coef
MolWt,5.6242,5.6242
NumRotatableBonds,-2.364,2.364
TPSA,-1.4982,1.4982
RingCount,-1.1031,1.1031
MolLogP,-0.5391,0.5391
NumHAcceptors,0.5274,0.5274
H2O_3DPSA,-0.3734,0.3734
CHCl3_3DPSA,-0.3686,0.3686
delta_NPR1,-0.2094,0.2094
psa3d_std,-0.1946,0.1946
delta_Asphericity,-0.1607,0.1607
hb_spread,-0.0853,0.0853
delta_psa3d,0.0736,0.0736
psa3d_spread,0.0736,0.0736
delta_Rg,-0.0344,0.0344
NumHDonors,0.0291,0.0291
delta_3DPSA_db,0.0248,0.0248
delta_NPR2,-0.0163,0.0163
delta_hb,-0.0107,0.0107
