cluster,label,n,n_permeable,perm_rate,enrichment
17,C17,91,90,0.989,1.489
68,C68,116,113,0.974,1.466
34,C34,115,110,0.957,1.44
39,C39,88,84,0.955,1.437
8,C8,80,76,0.95,1.43
10,C10,82,77,0.939,1.414
18,C18,62,58,0.935,1.408
16,C16,54,49,0.907,1.366
66,C66,247,223,0.903,1.359
19,C19,63,55,0.873,1.314
7,C7,60,52,0.867,1.305
13,C13,84,72,0.857,1.29
43,C43,68,58,0.853,1.284
1,C1,77,65,0.844,1.271
57,C57,78,65,0.833,1.254
14,C14,88,73,0.83,1.249
63,C63,87,72,0.828,1.246
3,C3,62,51,0.823,1.238
23,C23,131,107,0.817,1.23
2,C2,81,66,0.815,1.227
31,C31,53,43,0.811,1.221
30,C30,84,67,0.798,1.201
41,C41,57,44,0.772,1.162
42,C42,60,45,0.75,1.129
67,C67,71,53,0.746,1.124
-1,noise,914,668,0.731,1.1
62,C62,180,131,0.728,1.096
12,C12,84,61,0.726,1.093
52,C52,64,46,0.719,1.082
0,C0,78,56,0.718,1.081
11,C11,84,59,0.702,1.057
26,C26,60,42,0.7,1.054
40,C40,101,70,0.693,1.043
38,C38,139,96,0.691,1.04
9,C9,97,67,0.691,1.04
22,C22,71,49,0.69,1.039
49,C49,61,40,0.656,0.987
64,C64,117,76,0.65,0.978
4,C4,57,37,0.649,0.977
58,C58,490,318,0.649,0.977
29,C29,93,60,0.645,0.971
46,C46,156,100,0.641,0.965
37,C37,69,44,0.638,0.96
53,C53,52,32,0.615,0.926
61,C61,56,34,0.607,0.914
36,C36,152,92,0.605,0.911
44,C44,84,50,0.595,0.896
50,C50,74,42,0.568,0.854
54,C54,112,62,0.554,0.833
45,C45,80,44,0.55,0.828
32,C32,76,38,0.5,0.753
24,C24,76,38,0.5,0.753
56,C56,73,34,0.466,0.701
65,C65,50,23,0.46,0.692
47,C47,68,31,0.456,0.686
27,C27,69,31,0.449,0.676
28,C28,85,38,0.447,0.673
48,C48,126,54,0.429,0.645
55,C55,85,36,0.424,0.638
35,C35,61,25,0.41,0.617
59,C59,168,67,0.399,0.6
15,C15,63,25,0.397,0.597
21,C21,74,27,0.365,0.549
60,C60,83,30,0.361,0.544
5,C5,75,26,0.347,0.522
20,C20,56,19,0.339,0.511
33,C33,124,42,0.339,0.51
51,C51,72,10,0.139,0.209
6,C6,95,8,0.084,0.127
25,C25,55,2,0.036,0.055
